date	open	high	close	low	volume	amount
2010-06-01 00:00:00	986.015	994.793	973.233	948.118	135628512	4924176896
2010-06-02 00:00:00	967.777	997.292	997.292	952.776	107462760	4001206272
2010-06-03 00:00:00	1002.529	1026.88	998.568	997.948	161680544	6240835584
2010-06-04 00:00:00	989.934	1027.944	1027.944	986.756	150029504	5269440512
2010-06-07 00:00:00	1005.285	1075.5	1069.741	1001.958	265527536	9106095104
2010-06-08 00:00:00	1067.625	1075.806	1067.456	1051.261	197672080	6621994496
2010-06-09 00:00:00	1071.154	1102.409	1078.127	1069.733	254156816	8994866176
2010-06-10 00:00:00	1078.074	1119.52	1117.891	1076.679	219740464	8242731008
2010-06-11 00:00:00	1122.962	1128.749	1122.717	1119.223	222487424	8449039360
2010-06-17 00:00:00	1126.663	1130.219	1065.343	1065.343	176428352	6757409280
2010-06-18 00:00:00	1052.565	1053.636	1000.75	993.644	163065088	5827721216
2010-06-21 00:00:00	992.614	1043.847	1041.492	977.061	157479760	5604269568
2010-06-22 00:00:00	1037.726	1058.066	1035.681	1034.332	142716208	5067480064
2010-06-23 00:00:00	1027.545	1057.048	1048.032	1024.415	125735944	4608672256
2010-06-24 00:00:00	1047.453	1060.457	1051.298	1042.23	106913296	3904947968
2010-06-25 00:00:00	1046.933	1046.933	1016.983	999.852	123729832	4515664384
2010-06-28 00:00:00	1009.918	1015.112	988.508	984.894	92067328	3463552256
2010-06-29 00:00:00	986.251	992.911	913.938	913.168	149779968	5293896704
2010-06-30 00:00:00	898.91	922.445	919.948	881.967	122366104	3852158464
2010-07-01 00:00:00	915.025	921.849	882.798	882.798	104957288	3663773696
2010-07-02 00:00:00	879.556	885.948	873.722	833.196	128883352	4212661760
2010-07-05 00:00:00	857.96	871.463	862.862	843.313	91586432	2851736064
2010-07-06 00:00:00	859.85	899.064	894.334	858.388	116523160	3751055616
2010-07-07 00:00:00	897.149	909.175	909.175	890.95	104616296	3342473728
2010-07-08 00:00:00	912.625	914.926	906.133	887.638	109808784	3780698880
2010-07-09 00:00:00	904.227	937.287	932.9	897.611	145146032	4743256576
2010-07-12 00:00:00	932.288	941.833	930.926	924.805	126361752	4188147200
2010-07-13 00:00:00	925.696	937.401	931.833	907.037	146865744	4744135680
2010-07-14 00:00:00	930.501	938.69	923.108	916.815	142358624	4648080384
2010-07-15 00:00:00	920.79	931.308	893.279	893.279	117588080	3960490752
2010-07-16 00:00:00	885.835	895.832	893.072	869.776	100931232	3264221696
2010-07-19 00:00:00	882.421	910.966	908.837	878.827	93880256	2992584192
2010-07-20 00:00:00	910.332	938.358	937.829	910.332	136580864	4559580672
2010-07-21 00:00:00	940.912	959.869	942.067	938.973	166574560	5960653824
2010-07-22 00:00:00	939.032	951.033	951.033	932.828	132660272	4356669440
2010-07-23 00:00:00	952.665	965.58	961.421	948.948	172125136	5339086336
2010-07-26 00:00:00	963.595	967.571	966.992	955.587	147603568	4626044928
2010-07-27 00:00:00	964.379	968.879	958.798	956.56	136182128	4574086656
2010-07-28 00:00:00	956.016	973.377	973.377	955.349	156618272	5187227648
2010-07-29 00:00:00	975.141	982.866	976.208	966.444	179419312	5897853440
2010-07-30 00:00:00	972.506	972.506	969.27	956.747	145848672	5049473024
2010-08-02 00:00:00	969.29	995.091	995.091	969.29	181036432	6104407552
2010-08-03 00:00:00	996.058	997.127	976.491	976.491	175705872	5951414784
2010-08-04 00:00:00	972.249	978.862	978.862	956.759	144616544	4758297088
2010-08-05 00:00:00	981.12	998.967	988.208	979.181	177039968	6033987072
2010-08-06 00:00:00	988.824	1012.267	1012.267	986.485	189906128	6225316864
2010-08-09 00:00:00	1014.123	1033.234	1033.234	1014.123	209199504	6918898688
2010-08-10 00:00:00	1032.873	1035.229	994.854	994.854	217707152	7106822656
2010-08-11 00:00:00	992.138	1007.321	1005.508	991.8	161507824	5180189696
2010-08-12 00:00:00	994.914	1008.45	992.637	988.834	168918928	5316055552
2010-08-13 00:00:00	993.486	1008.394	1008.079	987.478	147179840	4831450112
2010-08-16 00:00:00	1008.371	1031.946	1031.11	1005.923	188040000	6199923200
2010-08-17 00:00:00	1031.969	1037.72	1034.477	1023.967	180077712	6092952064
2010-08-18 00:00:00	1034.603	1036.509	1027.612	1019.379	164350144	5721278464
2010-08-19 00:00:00	1027.873	1034.144	1026.415	1022.589	162453424	5547406848
2010-08-20 00:00:00	1022.343	1023.334	996.807	994.422	187022480	6597771776
2010-08-23 00:00:00	995.801	1002.051	996.476	992.378	145601440	5064150016
2010-08-24 00:00:00	994.437	1008.633	1005.856	988.08	136505168	4942148608
2010-08-25 00:00:00	1001.136	1003.198	977.725	977.401	150134272	5247657984
2010-08-26 00:00:00	979.447	985.722	981.48	973.845	128806656	4668328960
2010-08-27 00:00:00	979.362	1001.729	1000.323	976.566	121624296	4490466304
2010-08-30 00:00:00	1003.857	1026.041	1025.817	1003.857	164541232	5997851136
2010-08-31 00:00:00	1021.632	1030.695	1026.459	1016.013	153469984	5742617600
2010-09-01 00:00:00	1026.567	1030.698	996.45	988.445	186436256	6805223424
2010-09-02 00:00:00	1002.466	1019.158	1015.802	997.388	163085744	5905102336
2010-09-03 00:00:00	1018.603	1046.205	1037.687	1018.475	228936528	8448724480
2010-09-06 00:00:00	1040.45	1044.23	1011.723	1008.382	181308080	6466212352
2010-09-07 00:00:00	1011.074	1023.592	1023.592	1008.593	128451496	4586031104
2010-09-08 00:00:00	1021.239	1028.654	1027.343	1017.843	140381872	4795945984
2010-09-09 00:00:00	1030.125	1041.7	1022.844	1020.698	195980272	6404983296
2010-09-10 00:00:00	1022.886	1038.538	1035.964	1017.197	181229024	5743872512
2010-09-13 00:00:00	1035.414	1046.425	1043.514	1034.277	166788992	5527660544
2010-09-14 00:00:00	1045.336	1047.167	1032.24	1029.788	159023168	5554204672
2010-09-15 00:00:00	1030.539	1031.04	991.083	988.026	181827392	6238212608
2010-09-16 00:00:00	990.467	995.939	973.564	965.483	144205824	4843029504
2010-09-17 00:00:00	977.037	982.7	973.192	968.513	96784056	3271601152
2010-09-20 00:00:00	973.408	976.228	950.135	948.351	92365872	3136271360
