date	open	high	close	low	volume	amount
1991-04-03 00:00:00	988.05	988.05	988.05	988.05	100	10000
1991-04-04 00:00:00	983.11	983.11	983.11	983.11	52300	761000
1991-04-05 00:00:00	978.27	978.27	978.27	978.27	10700	150000
1991-04-08 00:00:00	968.57	968.57	968.57	968.57	5700	84000
1991-04-09 00:00:00	963.73	963.73	963.73	963.73	1900	39000
1991-04-10 00:00:00	958.88	958.88	958.88	958.88	4500	110000
1991-04-11 00:00:00	954.03	954.03	954.03	954.03	4500	59000
1991-04-12 00:00:00	949.31	949.31	949.31	949.31	6800	113000
1991-04-15 00:00:00	939.98	939.98	939.98	939.98	5000	64000
1991-04-16 00:00:00	935.38	935.38	935.38	935.38	2200	34000
1991-04-17 00:00:00	930.78	930.78	930.78	930.78	2100	30000
1991-04-18 00:00:00	926.18	926.18	926.18	926.18	1400	32000
1991-04-19 00:00:00	921.58	921.58	921.58	921.58	1700	27000
1991-04-23 00:00:00	907.78	907.78	907.78	907.78	4800	150000
1991-04-24 00:00:00	903.31	903.31	903.31	903.31	4600	109000
1991-04-25 00:00:00	898.84	898.84	898.84	898.84	5000	110000
1991-04-26 00:00:00	894.36	894.36	894.36	894.36	5300	92000
1991-04-29 00:00:00	885.43	885.43	885.43	885.43	4900	72000
1991-04-30 00:00:00	880.98	880.98	880.98	880.98	14200	182000
1991-05-02 00:00:00	876.57	876.57	876.57	876.57	7200	92000
1991-05-03 00:00:00	872.16	872.16	872.16	872.16	7800	103000
1991-05-06 00:00:00	863.35	863.35	863.35	863.35	12400	181000
1991-05-07 00:00:00	859.06	859.06	859.06	859.06	10200	127000
1991-05-08 00:00:00	854.78	854.78	854.78	854.78	30900	697000
1991-05-09 00:00:00	850.5	850.5	850.5	850.5	45000	568000
1991-05-10 00:00:00	846.22	846.22	846.22	846.22	70000	897000
1991-05-13 00:00:00	837.66	837.66	837.66	837.66	155400	1910000
1991-05-14 00:00:00	834.44	835.01	835.01	833.38	316000	3874000
1991-05-15 00:00:00	832.36	832.54	832.54	832.36	395700	5673000
1991-05-16 00:00:00	830.06	830.06	830.06	830.06	591800	8116000
1991-05-17 00:00:00	827.72	827.72	827.72	827.72	901400	11550000
1991-05-20 00:00:00	822.67	822.67	822.67	822.67	563100	6783000
1991-05-21 00:00:00	820.15	820.15	820.15	820.15	370800	4590000
1991-05-22 00:00:00	817.63	817.63	817.63	817.63	453300	5591000
1991-05-23 00:00:00	814.16	815.22	813.59	813.59	326700	4006000
1991-05-24 00:00:00	809.56	809.56	809.56	809.56	100800	1190000
1991-05-27 00:00:00	801.48	801.48	801.48	801.48	132000	1509000
1991-05-28 00:00:00	797.98	797.98	797.98	797.98	17800	216000
1991-05-29 00:00:00	794.61	794.61	794.61	794.61	13600	258000
1991-05-30 00:00:00	791.23	791.23	791.23	791.23	20400	286000
1991-05-31 00:00:00	787.85	787.85	787.85	787.85	8100	96000
1991-06-03 00:00:00	781.1	781.1	781.1	781.1	25700	327000
1991-06-04 00:00:00	777.72	777.72	777.72	777.72	80100	958000
1991-06-05 00:00:00	774.35	774.35	774.35	774.35	165000	1993000
1991-06-06 00:00:00	771.26	771.26	771.26	771.26	2400	35000
1991-06-07 00:00:00	768.16	768.16	768.16	768.16	10600	106000
1991-06-10 00:00:00	754.25	754.25	733.65	733.65	16500	175000
1991-06-11 00:00:00	733.7	756.51	756.51	732.23	98700	762000
1991-06-12 00:00:00	755.26	758.21	753.06	751.41	190500	1221000
1991-06-13 00:00:00	751.07	751.07	745.92	745.92	238900	2176000
1991-06-14 00:00:00	743.2	743.2	735.67	734.2	236200	2081000
1991-06-17 00:00:00	716.99	721.18	721	715.14	210000	1809000
1991-06-18 00:00:00	717.13	721.94	721.21	716.4	148500	1106000
1991-06-19 00:00:00	717.71	721.37	717.33	715.88	231200	1871000
1991-06-20 00:00:00	714.18	714.18	710.12	707.56	225000	1666000
1991-06-21 00:00:00	706.97	707.35	704.41	703.66	180200	1263000
1991-06-24 00:00:00	694.2	696.76	689.79	687.18	276500	1895000
1991-06-25 00:00:00	685.3	691.55	690.09	684.93	618300	3358000
1991-06-26 00:00:00	686.21	695.28	693.96	683.89	656600	3583000
1991-06-27 00:00:00	690.66	697.46	694.9	687.67	864900	4828000
1991-06-28 00:00:00	691.45	693.37	691.41	686.53	1064300	4561000
1991-07-01 00:00:00	685.65	687.48	684.01	680.83	979000	5472000
1991-07-02 00:00:00	680.4	683.34	670.15	665.39	785200	2981000
1991-07-03 00:00:00	666.81	671.95	669.06	660.93	849400	4811000
1991-07-04 00:00:00	665.85	667.54	661.61	660.42	113500	3102000
1991-07-05 00:00:00	659.38	660.66	652.38	648.22	766000	3527000
1991-07-08 00:00:00	640.79	641.41	628.45	623.23	698200	3213000
1991-07-09 00:00:00	620.78	620.78	611.99	603.04	984200	2680000
1991-07-10 00:00:00	609.63	617.19	614.92	607.64	924500	3378000
1991-07-11 00:00:00	612.62	615	608.27	604.76	613700	2827000
1991-07-12 00:00:00	605.55	606.19	603.02	598.86	851600	3593000
1991-07-15 00:00:00	600.47	600.75	594.38	590.81	596600	2520000
1991-07-16 00:00:00	591.97	592.96	584.85	581.74	664200	2806000
1991-07-17 00:00:00	580.06	582.33	576.75	572.52	711200	2660000
1991-07-18 00:00:00	574.99	613.83	608.91	573.6	593600	2827000
1991-07-19 00:00:00	609.39	640.22	616.73	606.25	1097200	6045000
1991-07-22 00:00:00	603.6	607.84	601.76	595.85	1257400	4805000
1991-07-23 00:00:00	598.45	605.82	601.9	594.92	834400	2664000
1991-07-24 00:00:00	598.47	600.09	598.81	594.65	479500	2310000
1991-07-25 00:00:00	596.7	598.01	594.61	591.05	669800	3087000
1991-07-26 00:00:00	591.05	592.59	586.01	584.6	701900	3361000
1991-07-29 00:00:00	583.37	584.99	579.73	574.65	878400	3943000
1991-07-30 00:00:00	577.29	578.4	577.15	570.02	593500	2572000
1991-07-31 00:00:00	572.86	578.74	578.42	571.91	587500	2485000
1991-08-01 00:00:00	574.82	580.59	579.32	574.19	737900	3383000
1991-08-02 00:00:00	576.39	579.74	577.96	574.81	520900	2845000
1991-08-05 00:00:00	578.71	579.8	578.18	575.77	560800	2525000
1991-08-06 00:00:00	575.97	578.91	576.83	573.75	595600	2625000
1991-08-07 00:00:00	575.48	577.42	576.33	574.39	522000	2396000
1991-08-08 00:00:00	575.75	576.07	574.52	573.52	451300	2123000
1991-08-09 00:00:00	574.12	575.21	572.8	570.05	549200	2466000
1991-08-12 00:00:00	573.74	574.51	572.79	571.01	540900	2297000
1991-08-13 00:00:00	571.71	573.02	571.4	570.94	544500	2362000
1991-08-14 00:00:00	570.54	572.62	570.54	569.41	414600	1808000
1991-08-15 00:00:00	570.14	572.09	568.71	567.43	445400	2079000
1991-08-16 00:00:00	568.98	572.19	570.96	567.36	599200	2541000
1991-08-19 00:00:00	450.14	459.35	458.02	446.51	858500	7549000
1991-08-20 00:00:00	456.72	457.78	449.1	446.64	821000	5783000
1991-08-21 00:00:00	448.14	448.86	445.99	439.33	910400	7869000
1991-08-22 00:00:00	443.66	446.2	437.26	434.29	878500	3089000
1991-08-23 00:00:00	434.5	438.28	435.63	425.9	874000	8561000
1991-08-26 00:00:00	443.05	444.7	441.41	437.68	935500	6733000
1991-08-27 00:00:00	439.6	441.3	437.08	434.73	942300	5925000
1991-08-28 00:00:00	437.35	438.58	436.05	431.88	1022600	6156000
1991-08-29 00:00:00	432.32	436.32	435.37	430.61	702100	5520000
1991-08-30 00:00:00	432.65	435.3	433.77	431.34	913600	5408000
1991-09-02 00:00:00	431.03	432.86	431.79	425.82	1029400	6344000
1991-09-03 00:00:00	430.07	432.61	429.33	425.48	1758800	8263000
1991-09-04 00:00:00	427.41	429.25	425.99	422.24	783400	4893000
1991-09-05 00:00:00	423.2	424.37	419.58	414.21	1646800	9961000
1991-09-06 00:00:00	414.52	415.45	402.5	397.67	2505800	7749000
1991-09-09 00:00:00	401.57	409.76	409.76	400.38	2022300	11944000
1991-09-10 00:00:00	407.04	412.64	410.44	403.32	1497300	8841000
1991-09-11 00:00:00	407.98	418.12	417.53	407.05	1424700	9483000
1991-09-12 00:00:00	416.57	420.12	419.04	414.44	1258200	8225000
1991-09-13 00:00:00	417.66	419.53	418.51	413.4	1552400	13497000
1991-09-16 00:00:00	414.03	415.56	413.86	409.68	1107900	5222000
1991-09-17 00:00:00	410.99	413.87	412.51	409.4	763900	6119000
1991-09-18 00:00:00	409.97	412.49	410.99	407.84	753900	5805000
1991-09-19 00:00:00	410.21	411.44	408.18	405.32	878400	7064000
1991-09-20 00:00:00	406.91	409.21	407.54	405.38	579800	4868000
1991-09-23 00:00:00	406.77	408.43	408.43	406.34	551700	4424000
1991-09-24 00:00:00	407.38	408.02	406.96	405.43	444300	3274000
1991-09-25 00:00:00	405.78	411.97	409.03	404.84	724500	5012000
1991-09-26 00:00:00	407.03	410.62	410.32	406.1	516200	3117000
1991-09-27 00:00:00	410.34	415.96	413.78	408.82	716400	4543000
1991-10-03 00:00:00	417.56	452.45	442.05	416.63	1252800	7830000
1991-10-04 00:00:00	445.18	446.24	438.35	432.71	1683400	12044000
1991-10-07 00:00:00	445.51	492.51	491.26	444.58	2274800	15720000
1991-10-08 00:00:00	523.29	607.01	586.49	522	4343400	36845000
1991-10-09 00:00:00	593.66	723.53	712.85	593.66	6216400	74736000
1991-10-10 00:00:00	717.04	775.17	641.41	618.95	5972900	55938000
1991-10-11 00:00:00	634.4	676.18	667.99	539.87	5323200	49823000
1991-10-14 00:00:00	691.93	709.01	692	683.86	4644300	44653000
1991-10-15 00:00:00	692.89	696.09	656.81	646.55	2806600	25372000
1991-10-16 00:00:00	659.2	659.5	648.78	632.3	2748400	26230000
1991-10-17 00:00:00	646.93	672.98	672.13	642.69	3658900	32639000
1991-10-18 00:00:00	673.64	697.23	675.86	669.15	3184900	32701000
1991-10-21 00:00:00	673.17	681.39	670.9	665.44	2025200	21955000
1991-10-22 00:00:00	671.54	672.47	659.23	656.15	1933400	20178000
1991-10-23 00:00:00	658.18	667.23	665.87	648.67	2269300	23377000
1991-10-24 00:00:00	666.11	680.14	672.97	664.82	2327200	25201000
1991-10-25 00:00:00	674.29	676.89	675.11	669.27	1943500	20569000
1991-10-28 00:00:00	680.83	721.57	707.92	673.92	2580400	29911000
1991-10-29 00:00:00	708.25	745.3	725.95	707.67	3369100	38326000
1991-10-30 00:00:00	727.45	738.45	733.7	721.87	4321400	42670000
1991-10-31 00:00:00	736.81	788.95	779.81	735.63	4605800	48285000
1991-11-01 00:00:00	783.42	854.63	833.8	783.42	3486000	55593000
1991-11-04 00:00:00	840.56	925.97	918.11	839.92	5655700	74690000
1991-11-05 00:00:00	921.24	972.63	919.05	909.35	6157800	90363000
1991-11-06 00:00:00	920.76	922.04	879.2	827.08	5949300	73516000
1991-11-07 00:00:00	880.78	936.83	899.59	880.01	5284000	74262000
1991-11-08 00:00:00	901.81	918.49	914.82	879.55	6108400	77393000
1991-11-12 00:00:00	969.51	1131.59	1122.72	969.51	6240600	80558000
1991-11-13 00:00:00	1124.42	1192.05	1149.97	1124.42	5878600	110416000
1991-11-14 00:00:00	1152.56	1206.32	1186.84	1149.7	4935100	88230000
1991-11-15 00:00:00	1185.23	1202.38	1142.06	1136.1	4891700	93843000
1991-11-18 00:00:00	1109.55	1109.55	917.6	895.86	4053700	59338000
1991-11-19 00:00:00	918.13	1068.78	1065.5	911.94	4064500	65469000
1991-11-20 00:00:00	1065.19	1109.49	1062.21	1041.78	3596700	62234000
1991-11-21 00:00:00	1065.49	1068.11	1009.91	983.85	2658200	41734000
1991-11-22 00:00:00	1011.42	1048.36	1039.52	998.35	2832200	46723000
1991-11-25 00:00:00	1036.06	1037.58	994.93	978.17	2268400	34918000
1991-11-26 00:00:00	997.34	997.77	929.58	921.12	3264200	47775000
