date	open	high	close	low	volume	amount
1993-04-30 00:00:00	1344.91	1364.32	1358.78	1341.86	1327900	53588100
1993-05-03 00:00:00	1377.09	1417.17	1378.83	1359.77	2678500	106654900
1993-05-04 00:00:00	1377.08	1382.45	1252.38	1231.44	3345400	129412600
1993-05-05 00:00:00	1221.69	1279.39	1246.33	1204.9	2187900	82124300
1993-05-06 00:00:00	1246.33	1250.62	1146.22	1134.6	2443600	86799100
1993-05-07 00:00:00	1156.41	1184.61	1167.7	2275.72	1978700	69667300
1993-05-10 00:00:00	1176.57	1183.4	1073.13	1058.22	1832600	61201700
1993-05-11 00:00:00	1093.13	1093.13	1080.19	1054.72	891700	29362000
1993-05-12 00:00:00	1090.74	1102.86	1075.07	1070.44	998500	33413600
1993-05-13 00:00:00	1077.9	1106.89	1102.79	1072.5	618400	20961300
1993-05-14 00:00:00	1110.32	1126.2	1092.14	1084.69	1019700	34703400
1993-05-17 00:00:00	1061.37	1062.96	1047.31	1011.22	754600	24304400
1993-05-18 00:00:00	1047.31	1059.52	1037.85	1031.71	442800	14387500
1993-05-19 00:00:00	1037.85	1047.74	1047.74	1031.92	372900	11990600
1993-05-20 00:00:00	1047.74	1094.26	1083.57	1047.74	1000800	33664700
1993-05-21 00:00:00	1084.67	1084.67	1056.07	1046.56	576100	19023600
1993-05-24 00:00:00	1055.94	1055.94	929.8	929.8	1497500	45667600
1993-05-25 00:00:00	929.8	929.8	894.76	876.22	1217200	34390600
1993-05-26 00:00:00	895.15	910.37	892.34	889.85	806100	22656800
1993-05-27 00:00:00	891.91	891.91	853.66	816.58	956700	25999200
1993-05-28 00:00:00	852.17	875.17	861.19	844.68	3800900	65407400
1993-05-31 00:00:00	869.94	879.48	833.32	830.12	1919300	40401000
1993-06-01 00:00:00	831.53	853.1	853.1	778.88	2318600	41042200
1993-06-02 00:00:00	871.53	1032.16	1032.16	834.82	14656100	311076900
1993-06-03 00:00:00	1072.71	1164.69	1000.93	903.32	14727200	404169100
1993-06-04 00:00:00	1009.61	1009.61	958.1	930	7283900	180192900
1993-06-07 00:00:00	962.11	1047.59	1036.1	934.63	5195900	121376800
1993-06-08 00:00:00	1087.95	1115.46	1033.71	1030.84	8863600	231142200
1993-06-09 00:00:00	1025.34	1049.34	1028.1	1015.06	2348200	58902000
1993-06-10 00:00:00	1028.1	1052.66	984.97	980.31	2245500	55957600
1993-06-11 00:00:00	985.5	994.17	979.05	932.63	2164100	49984000
1993-06-14 00:00:00	978.68	988.55	938.27	929.58	2149200	49078600
1993-06-15 00:00:00	904.19	930.85	923.8	902.83	1478200	32501300
1993-06-16 00:00:00	927.12	933.63	922.73	916.34	806400	17926000
1993-06-17 00:00:00	918.97	942.17	918.97	917.61	662600	15214800
1993-06-18 00:00:00	927.56	927.56	920.82	913.2	623200	13871000
1993-06-21 00:00:00	916.79	916.79	898.8	891.36	1024400	22275100
1993-06-22 00:00:00	898.8	914.82	904.38	898.8	1028600	21120000
1993-06-23 00:00:00	904.38	912.06	907.18	899.07	375400	8168900
1993-06-24 00:00:00	909.57	909.65	888.19	876.3	564700	12193800
1993-06-25 00:00:00	888.19	954.74	910.1	888.19	1309900	27845800
1993-06-28 00:00:00	910.1	929.8	917.49	900.36	1062400	23967500
1993-06-29 00:00:00	917.49	956.95	936.76	917.49	2113200	49833500
1993-06-30 00:00:00	940.84	952.83	913.28	910.23	1377300	31277300
1993-07-01 00:00:00	913.28	916.78	904.73	898.16	892300	20181300
1993-07-02 00:00:00	904.73	911.53	896.18	894.72	633400	14216500
1993-07-05 00:00:00	893.62	893.62	863.13	858.14	1216500	27075400
1993-07-06 00:00:00	856.07	856.07	808.26	802.84	1866200	38467000
1993-07-07 00:00:00	804.85	813.38	806.12	771.3	1159600	23431800
1993-07-08 00:00:00	813.42	815.75	805.57	798.02	612000	12605600
1993-07-09 00:00:00	805.57	805.57	776.83	764.84	855500	17459400
1993-07-12 00:00:00	761.79	761.79	751.28	722.95	1077100	20902900
1993-07-13 00:00:00	751.28	776.79	764.67	746.42	443700	7908300
1993-07-14 00:00:00	764.67	764.67	726.03	726.03	849300	17400200
1993-07-15 00:00:00	726.03	736.4	726.98	721.89	684200	13577700
1993-07-16 00:00:00	726.98	729.55	725.72	723.52	507400	9766300
1993-07-19 00:00:00	725.72	736.49	716.72	716.72	574400	11249000
1993-07-20 00:00:00	716.72	716.72	688.47	687.83	822200	14990500
1993-07-21 00:00:00	689.84	700.83	691.93	685.54	336300	6093500
1993-07-22 00:00:00	692.7	694.2	694.15	679.42	301200	5263500
1993-07-23 00:00:00	702.83	711.3	689.77	689.42	468500	8264700
1993-07-26 00:00:00	688.98	706.95	672.71	672.71	332600	6026200
1993-07-27 00:00:00	672.71	677.77	670.81	657.75	371600	6577900
1993-07-28 00:00:00	670.81	699.14	679.28	670.81	1057400	20014200
1993-07-29 00:00:00	679.94	691.95	688.58	677.53	483500	9420900
1993-07-30 00:00:00	689.04	784.14	753.8	689.04	2737800	53975700
1993-08-02 00:00:00	767.07	796.24	722.49	718.47	2945700	58749800
1993-08-03 00:00:00	723.54	742.25	710.54	706.25	879600	16935000
1993-08-04 00:00:00	710.54	737.79	726.23	700.24	620300	11565700
1993-08-05 00:00:00	727.27	737.45	717.69	702.91	1150600	22021000
1993-08-06 00:00:00	723.94	731.97	724.56	719.35	671500	13433100
1993-08-09 00:00:00	729.08	750.46	748.44	724.38	1368200	26853600
1993-08-10 00:00:00	758.85	764.21	725.97	721.57	1745800	35307400
1993-08-11 00:00:00	724.69	736.61	736.61	719.61	400600	7779700
1993-08-12 00:00:00	746.95	757.24	754.87	742.2	1340100	27468500
1993-08-13 00:00:00	766.8	789.88	785.98	760.14	2427900	51138400
1993-08-16 00:00:00	809.3	917.46	917.46	809.3	3625400	79702000
1993-08-17 00:00:00	926.88	926.88	899.13	882.9	4153000	93783200
1993-08-18 00:00:00	899.13	899.13	835.01	834.49	2793500	63826000
1993-08-19 00:00:00	834.08	863.94	850.11	831.28	1545900	35102000
1993-08-20 00:00:00	853.02	861.05	824.04	816.44	1431000	31431100
1993-08-23 00:00:00	794.44	813.93	769.33	754.84	1653800	34658100
1993-08-24 00:00:00	756.58	779.18	767.52	752.99	1043800	21464500
1993-08-25 00:00:00	777.82	809.29	793.02	777.82	1000600	21401400
1993-08-26 00:00:00	798.64	798.64	787.79	777.54	443700	9280800
1993-08-27 00:00:00	785.8	788.26	779.34	768.23	612400	12549500
1993-08-30 00:00:00	774.73	800.06	787.89	768.18	462300	9856000
1993-08-31 00:00:00	787.68	798.7	781.25	761.2	254400	5418800
1993-09-01 00:00:00	779.1	789.21	778.85	776.74	241100	5097300
1993-09-02 00:00:00	780.32	786.66	786.66	776.15	229100	4785100
1993-09-03 00:00:00	788.23	816.2	811.51	788.23	990900	21316900
1993-09-06 00:00:00	827.31	842.28	842.28	823.2	1590700	34344000
1993-09-07 00:00:00	842.14	842.14	799.62	799.62	984300	21128200
1993-09-08 00:00:00	799.75	816.3	803.71	789.34	684200	14232700
1993-09-09 00:00:00	803.02	815.48	799.2	799.2	750300	13765900
1993-09-10 00:00:00	798.67	807.91	802.33	796.67	492100	9498300
1993-09-13 00:00:00	797.05	797.05	781.48	773.75	829600	16773800
1993-09-14 00:00:00	778.27	781.01	777.43	764.82	332400	6804400
1993-09-15 00:00:00	777.72	784.16	782.21	772.76	217400	4428700
1993-09-16 00:00:00	781.49	781.58	777.77	776.07	185600	3787100
1993-09-17 00:00:00	776.25	785.83	781.96	772.58	207200	4224000
1993-09-20 00:00:00	784.84	789.66	778.61	770.45	272600	5270800
1993-09-21 00:00:00	779.59	801.81	794.08	779.59	347200	7202700
1993-09-22 00:00:00	794.26	798.28	786.62	783.5	155400	3332000
1993-09-23 00:00:00	786.69	795.66	789.43	786.69	188800	3934600
1993-09-24 00:00:00	780.57	820.89	783.47	771.44	491300	10686500
1993-09-27 00:00:00	784.32	790.63	786.95	780.72	331900	6707800
1993-09-28 00:00:00	791.15	798.16	796.53	789.42	8441100	113079600
1993-09-29 00:00:00	801.09	803.22	783.98	780.99	2125600	29786500
1993-09-30 00:00:00	782.82	792.49	782.68	777.45	2100000	32978900
1993-10-04 00:00:00	788.65	801.57	783.59	783.59	1551400	24649800
1993-10-05 00:00:00	782.61	786.74	777.78	776.3	988300	13826600
1993-10-06 00:00:00	775.99	783.91	773.62	770.17	1450400	23094700
1993-10-07 00:00:00	775.66	836.44	780.65	769.91	6722500	147718100
1993-10-08 00:00:00	789.91	795.49	764.84	760.29	2770500	52852300
1993-10-11 00:00:00	757.86	766.95	756.97	749.67	1225400	21982500
1993-10-12 00:00:00	753.78	762.85	758.19	752.82	1872400	30961500
1993-10-13 00:00:00	761.28	764.99	750.8	746.22	3195500	43610000
1993-10-14 00:00:00	750.9	751.41	746.92	735.54	1271500	20761000
1993-10-15 00:00:00	744.22	755.8	751.16	743.6	1945500	30852500
1993-10-18 00:00:00	750.89	750.89	730.1	727.11	972800	15964600
1993-10-19 00:00:00	736.65	743.23	735.94	729.32	612200	10150500
1993-10-20 00:00:00	737	743.42	737.5	1466.16	1411200	22205400
1993-10-21 00:00:00	736.58	740.53	731.66	730.21	879000	14380500
1993-10-22 00:00:00	729.64	738.75	716.93	715	1519400	25290100
1993-10-25 00:00:00	699.65	701.86	692.67	684.21	1912700	32541300
1993-10-26 00:00:00	694.08	702.09	698.44	676.86	3809100	93932900
1993-10-27 00:00:00	704.02	707.24	683.23	680.74	4958400	120467200
1993-10-28 00:00:00	681.3	733.98	727.74	680.7	3416400	74438000
1993-10-29 00:00:00	739.13	739.13	714.98	711.52	2700400	53215800
1993-11-01 00:00:00	714.06	747.07	735.92	710.19	11103400	307959700
1993-11-02 00:00:00	733.83	741.29	723.17	721.46	3975200	107233900
1993-11-03 00:00:00	722.65	729.08	718.48	714.55	1986300	50171600
1993-11-04 00:00:00	716.89	717.38	712.43	705.06	2373700	59402200
1993-11-05 00:00:00	712.43	722.27	719.28	708.04	1512300	32385900
1993-11-08 00:00:00	725.93	734.17	731.3	721.52	9221500	167122500
1993-11-09 00:00:00	735.93	739.01	733.73	727.25	3860800	79742500
1993-11-10 00:00:00	740.21	785.65	762.81	735.47	24971500	951509800
1993-11-11 00:00:00	761.78	770.59	758.07	756.41	13101700	492529300
1993-11-12 00:00:00	764.41	778.23	777.4	764.41	9229400	281140100
1993-11-15 00:00:00	783.94	808.33	799.11	783.94	8715100	172575300
1993-11-16 00:00:00	801.48	806.85	790.45	782.94	8571300	146814300
1993-11-17 00:00:00	793.46	801.14	793.3	790.91	4284300	72336800
1993-11-18 00:00:00	797.71	800.12	799.57	794.52	3292600	63983400
1993-11-19 00:00:00	804.08	816.59	816.59	802.05	4083500	76386700
1993-11-22 00:00:00	816.59	841.82	832.69	816.59	10707700	174998500
1993-11-23 00:00:00	836.85	858.45	840.21	820.33	11759700	174432500
1993-11-24 00:00:00	848.59	943.84	934.03	848.59	34097700	475187500
1993-11-25 00:00:00	961.33	989.68	964.29	955.66	27945800	429924900
1993-11-26 00:00:00	964.29	985.73	925.31	921.61	15315100	241976400
1993-11-29 00:00:00	929.56	936.07	932.33	903.51	10371700	185654500
1993-11-30 00:00:00	932.24	941.69	941.11	918.02	17291500	315510500
1993-12-01 00:00:00	949.65	950.43	914.97	913.13	8076800	161295600
1993-12-02 00:00:00	913.03	916.78	915.44	895.28	5362500	89524100
1993-12-03 00:00:00	921.82	921.82	917.88	907.65	6630000	116237100
1993-12-06 00:00:00	926.83	934.88	926.86	913.89	10113500	237477000
1993-12-07 00:00:00	937.94	1007.81	1007.81	937.94	15655700	395641200
1993-12-08 00:00:00	1030.71	1030.71	980.53	972.25	20557200	386606500
1993-12-09 00:00:00	983.73	983.73	949.99	930.24	10931100	209460100
1993-12-10 00:00:00	950.76	958.61	947.57	921.5	7803900	161233200
1993-12-13 00:00:00	957.51	958.72	925.76	924.93	8407300	113435000
